"keyword","period","searchVolume"
"부침개","2022-07-01","360"
"부침개","2022-07-02","320"
"부침개","2022-07-03","450"
"부침개","2022-07-04","410"
"부침개","2022-07-05","420"
"부침개","2022-07-06","350"
"부침개","2022-07-07","460"
"부침개","2022-07-08","370"
"부침개","2022-07-09","310"
"부침개","2022-07-10","390"
"부침개","2022-07-11","500"
"부침개","2022-07-12","390"
"부침개","2022-07-13","2580"
"부침개","2022-07-14","480"
"부침개","2022-07-15","350"
"부침개","2022-07-16","370"
"부침개","2022-07-17","390"
"부침개","2022-07-18","800"
"부침개","2022-07-19","310"
"부침개","2022-07-20","330"
"부침개","2022-07-21","590"
"부침개","2022-07-22","390"
"부침개","2022-07-23","670"
"부침개","2022-07-24","640"
"부침개","2022-07-25","340"
"부침개","2022-07-26","320"
"부침개","2022-07-27","290"
"부침개","2022-07-28","320"
"부침개","2022-07-29","320"
"부침개","2022-07-30","430"
"부침개","2022-07-31","1390"