"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각,일교차,강수량(mm),1시간최다강수량(mm)
"		108",서울,2021-09-01,21.4,23.9,15:25,18.5,1:21,5.4,0.8,3.1
"		108",서울,2021-09-02,23.5,26.7,13:59,20.7,5:51,6,,
"		108",서울,2021-09-03,24.3,29.2,15:43,20.6,4:55,8.6,,
"		108",서울,2021-09-04,23.2,28.6,15:05,18.5,5:48,10.1,,
"		108",서울,2021-09-05,23.1,27.3,13:11,19.4,4:58,7.9,,
"		108",서울,2021-09-06,22.3,26.4,12:52,18,23:45,8.4,12,4
"		108",서울,2021-09-07,19.6,20.9,16:29,17.6,1:12,3.3,29.6,6.6
"		108",서울,2021-09-08,22.2,26.9,14:28,19,5:43,7.9,1.6,0.7
"		108",서울,2021-09-09,23.5,29.1,16:10,19.1,4:32,10,,
"		108",서울,2021-09-10,23.6,28.9,14:23,19.5,6:15,9.4,,
"		108",서울,2021-09-11,24,29.4,14:49,19.9,6:19,9.5,,
"		108",서울,2021-09-12,24.2,29.8,15:57,19.2,6:24,10.6,,
"		108",서울,2021-09-13,24.8,30.3,15:04,20.8,6:10,9.5,,
"		108",서울,2021-09-14,24.6,29.5,16:26,20,6:15,9.5,,
"		108",서울,2021-09-15,23.6,28.9,14:42,19.5,6:20,9.4,,
"		108",서울,2021-09-16,22.9,27.3,13:23,18,5:51,9.3,,
"		108",서울,2021-09-17,23.5,28.2,15:06,20.5,6:58,7.7,,
"		108",서울,2021-09-18,23.9,29.8,15:29,18.9,6:53,10.9,,
"		108",서울,2021-09-19,23.7,27.8,15:13,20.8,23:56,7,,
"		108",서울,2021-09-20,23.7,28.4,15:23,19,6:03,9.4,,
"		108",서울,2021-09-21,22,26.2,14:46,17.4,23:53,8.8,68.1,27.1
"		108",서울,2021-09-22,20.2,24.3,15:24,16.8,4:36,7.5,4.5,4.2
"		108",서울,2021-09-23,20.9,25.9,16:17,16.9,3:00,9,,
"		108",서울,2021-09-24,21.8,26.9,15:29,16.7,6:19,10.2,,
"		108",서울,2021-09-25,21.2,23.1,16:07,18.7,4:27,4.4,,
"		108",서울,2021-09-26,22.6,27.3,15:35,18.4,6:45,8.9,,
"		108",서울,2021-09-27,21.6,25,12:08,18.7,5:44,6.3,0,0
"		108",서울,2021-09-28,21.5,24.4,12:47,19.6,4:10,4.8,1.3,0.7
"		108",서울,2021-09-29,20.2,21.4,11:32,17.8,24:00:00,3.6,13.1,5
"		108",서울,2021-09-30,20.3,25.9,15:06,16,6:09,9.9,,
"		108",서울,2022-09-01,24,30.4,15:53,18.3,6:14,12.1,,
"		108",서울,2022-09-02,24.7,29.8,15:40,20.3,6:48,9.5,,
"		108",서울,2022-09-03,24.2,29.2,14:56,20.5,6:30,8.7,,
"		108",서울,2022-09-04,22.3,24,19:05,19.8,6:32,4.2,33.8,9.7
"		108",서울,2022-09-05,19.2,22.7,0:01,17.7,21:03,5,120,12.8
"		108",서울,2022-09-06,21,26.3,16:01,17,2:54,9.3,25.3,8.9
"		108",서울,2022-09-07,22.8,28.1,15:11,17.9,7:01,10.2,,
"		108",서울,2022-09-08,23.2,29.5,15:55,16.7,6:35,12.8,,
"		108",서울,2022-09-09,24.3,30.8,15:26,18.9,6:20,11.9,,
"		108",서울,2022-09-10,23.6,28.4,16:36,19,6:46,9.4,,
"		108",서울,2022-09-11,23.3,26.4,13:31,20.6,6:38,5.8,0.1,0.1
"		108",서울,2022-09-12,23.8,27.5,15:41,20.3,5:58,7.2,,
"		108",서울,2022-09-13,24.3,26.4,13:41,21.8,6:26,4.6,0,0
"		108",서울,2022-09-14,24.6,27.9,14:10,22.7,23:34,5.2,0,0
"		108",서울,2022-09-15,25.2,28.3,15:39,22,5:04,6.3,0.1,0.1
"		108",서울,2022-09-16,25.7,29.9,13:26,23.4,6:05,6.5,14.6,8.6
"		108",서울,2022-09-17,25.6,29.4,16:19,23.3,5:37,6.1,4.3,4.3
"		108",서울,2022-09-18,27.1,32.5,15:51,23,6:16,9.5,,
"		108",서울,2022-09-19,24.6,29.6,13:06,19.5,23:59,10.1,,
"		108",서울,2022-09-20,19.9,24.6,15:06,16.1,6:31,8.5,,
"		108",서울,2022-09-21,19.4,25.6,14:49,13,6:26,12.6,,
"		108",서울,2022-09-22,19.8,24.7,14:54,14.2,6:35,10.5,,
"		108",서울,2022-09-23,17.5,22.2,10:26,14.7,23:54,7.5,3.3,3.3
"		108",서울,2022-09-24,18.5,24.2,15:03,12.3,6:45,11.9,,
"		108",서울,2022-09-25,19.6,25.2,14:50,15.4,5:53,9.8,,
"		108",서울,2022-09-26,20,25.4,14:56,14.8,6:42,10.6,,
"		108",서울,2022-09-27,20.9,28,15:35,14,6:42,14,,
"		108",서울,2022-09-28,20.4,26.1,16:17,16.1,6:30,10,,
"		108",서울,2022-09-29,20.4,26.5,16:12,16.4,6:12,10.1,,
"		108",서울,2022-09-30,20.7,27.7,15:22,14.8,7:05,12.9,,
"		108",서울,2023-09-01,24.5,29.6,15:43,19.7,6:10,9.9,,
"		108",서울,2023-09-02,25.4,30.8,15:36,19.7,6:39,11.1,,
"		108",서울,2023-09-03,25.8,28.8,14:14,23.1,7:49,5.7,0.1,0.1
"		108",서울,2023-09-04,27,30.2,16:07,24.3,6:25,5.9,0.3,0.2
"		108",서울,2023-09-05,28.5,32.8,14:40,25,7:07,7.8,0,0
"		108",서울,2023-09-06,27.9,32.1,15:50,24,6:35,8.1,,
"		108",서울,2023-09-07,26.3,31.6,15:01,20.9,6:43,10.7,,
"		108",서울,2023-09-08,25.3,30.5,14:32,19.6,6:22,10.9,,
"		108",서울,2023-09-09,25.8,31.2,15:55,20.8,6:27,10.4,,
"		108",서울,2023-09-10,25.7,29.6,14:45,22,6:16,7.6,,
"		108",서울,2023-09-11,25.5,29.8,15:33,23.1,6:17,6.7,,
"		108",서울,2023-09-12,25.7,29.8,14:19,21.7,6:42,8.1,,
"		108",서울,2023-09-13,22.1,24.6,0:01,19.6,21:12,5,15.9,2.9
"		108",서울,2023-09-14,23.4,27.2,11:48,19.2,6:10,8,,
"		108",서울,2023-09-15,22.3,24.3,15:44,20.3,7:09,4,2.1,0.9
"		108",서울,2023-09-16,23.9,26.6,14:42,22,2:33,4.6,38.7,28
"		108",서울,2023-09-17,24.7,28,15:24,22,4:16,6,3,11.4
"		108",서울,2023-09-18,24.7,28.9,12:38,22.1,6:16,6.8,,
"		108",서울,2023-09-19,24.1,27.2,13:17,21.6,5:55,5.6,,
"		108",서울,2023-09-20,20.6,23.9,0:01,18.8,23:51,5.1,35.8,9.6
"		108",서울,2023-09-21,20.1,23.6,14:42,17.5,23:49,6.1,0,0
"		108",서울,2023-09-22,20.5,26.7,15:11,15.2,6:26,11.5,,
"		108",서울,2023-09-23,21.8,27.6,14:18,16.3,6:43,11.3,,
"		108",서울,2023-09-24,21.8,26.2,14:40,17.9,6:35,8.3,,
"		108",서울,2023-09-25,21.6,26,13:27,17.9,4:50,8.1,1.9,1
"		108",서울,2023-09-26,19.9,20.8,13:55,18.6,5:10,2.2,27.8,6.1
"		108",서울,2023-09-27,21.5,23.7,14:33,20,6:32,3.7,4.4,1.4
"		108",서울,2023-09-28,22.7,27.3,14:22,19.6,6:34,7.7,,
"		108",서울,2023-09-29,21.1,26.9,14:44,17.4,6:34,9.5,,
"		108",서울,2023-09-30,19.7,22.2,16:59,17.1,23:59,5.1,4.5,4.2
"		108",서울,2024-09-01,27.1,31.6,14:58,24.6,5:57,7,,
"		108",서울,2024-09-02,24.5,26.9,17:01,22.2,7:09,4.7,2.7,2
"		108",서울,2024-09-03,27,32,14:53,23.2,6:25,8.8,,
"		108",서울,2024-09-04,27.9,33.3,15:59,23.2,5:57,10.1,,
"		108",서울,2024-09-05,26.3,28.8,10:30,25.6,19:03,3.2,6.9,4.7
"		108",서울,2024-09-06,24,25.7,0:01,23.3,12:11,2.4,0.7,0.3
"		108",서울,2024-09-07,26.5,31.3,14:32,22.8,6:21,8.5,0,0
"		108",서울,2024-09-08,27.2,32.8,15:28,22.6,6:35,10.2,,
"		108",서울,2024-09-09,28.5,34.1,14:45,24.1,4:20,10,,
"		108",서울,2024-09-10,29.4,33.9,15:35,25.6,6:00,8.3,,
"		108",서울,2024-09-11,29,34.6,12:40,25.4,6:18,9.2,0.4,0.4
"		108",서울,2024-09-12,25.4,27.1,0:01,24.8,21:21,2.3,32.7,7.8
"		108",서울,2024-09-13,25.9,28,12:43,24.2,4:13,3.8,7.6,2.6
"		108",서울,2024-09-14,28,32.2,16:30,25.2,6:57,7,0,0
"		108",서울,2024-09-15,27.5,32.4,15:20,24.2,23:46,8.2,,
"		108",서울,2024-09-16,26.8,32.2,14:53,21.3,7:38,10.9,9.5,8
"		108",서울,2024-09-17,28.6,33.2,15:07,25.8,5:56,7.4,,
"		108",서울,2024-09-18,29.4,33.6,14:45,26.5,4:34,7.1,0.7,0.7
"		108",서울,2024-09-19,29.1,32.6,15:15,25.6,6:32,7,,
"		108",서울,2024-09-20,25,28.6,0:01,17.9,23:45,10.7,54.5,15.8
"		108",서울,2024-09-21,19.3,21.9,15:28,17.1,7:49,4.8,27,10.4
"		108",서울,2024-09-22,21,26.7,15:20,16.9,5:23,9.8,,
"		108",서울,2024-09-23,20.8,26.1,15:44,16.6,6:03,9.5,,
"		108",서울,2024-09-24,21,26.9,15:35,15.6,6:38,11.3,,
"		108",서울,2024-09-25,23.3,27.3,14:24,18.6,3:12,8.7,0,0
"		108",서울,2024-09-26,23.6,28,15:05,21.1,6:45,6.9,1.2,1.1
"		108",서울,2024-09-27,22.7,28,15:34,19.1,6:43,8.9,,
"		108",서울,2024-09-28,23.2,27.9,13:59,19.2,6:13,8.7,,
"		108",서울,2024-09-29,23.5,29,14:46,19.1,6:22,9.9,,
"		108",서울,2024-09-30,23,28.5,15:32,18.3,6:22,10.2,,
